question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
q-eng11.1-01,ENG11.1,mc,"Choose the correct conjunction: 'He apologized for being late, _____ his colleagues were not satisfied.'","'But' is correct because it introduces a contrast between a sincere apology (expected resolution) and continued dissatisfaction (unexpected outcome). 'And' would simply join the two facts without signalling the contrast. 'So' would mean the apology caused their dissatisfaction, which is logically backward. 'For' would mean he apologized because they were dissatisfied, reversing cause and effect.",k-eng-11-1-1,easy,ai-generated,false,A,and,false,1
q-eng11.1-01,ENG11.1,mc,"Choose the correct conjunction: 'He apologized for being late, _____ his colleagues were not satisfied.'","'But' is correct because it introduces a contrast between a sincere apology (expected resolution) and continued dissatisfaction (unexpected outcome). 'And' would simply join the two facts without signalling the contrast. 'So' would mean the apology caused their dissatisfaction, which is logically backward. 'For' would mean he apologized because they were dissatisfied, reversing cause and effect.",k-eng-11-1-1,easy,ai-generated,false,B,but,true,2
q-eng11.1-01,ENG11.1,mc,"Choose the correct conjunction: 'He apologized for being late, _____ his colleagues were not satisfied.'","'But' is correct because it introduces a contrast between a sincere apology (expected resolution) and continued dissatisfaction (unexpected outcome). 'And' would simply join the two facts without signalling the contrast. 'So' would mean the apology caused their dissatisfaction, which is logically backward. 'For' would mean he apologized because they were dissatisfied, reversing cause and effect.",k-eng-11-1-1,easy,ai-generated,false,C,so,false,3
q-eng11.1-01,ENG11.1,mc,"Choose the correct conjunction: 'He apologized for being late, _____ his colleagues were not satisfied.'","'But' is correct because it introduces a contrast between a sincere apology (expected resolution) and continued dissatisfaction (unexpected outcome). 'And' would simply join the two facts without signalling the contrast. 'So' would mean the apology caused their dissatisfaction, which is logically backward. 'For' would mean he apologized because they were dissatisfied, reversing cause and effect.",k-eng-11-1-1,easy,ai-generated,false,D,for,false,4
q-eng11.1-02,ENG11.1,mc,"Choose the correct conjunction: 'You must leave now, _____ you will miss the train.'","'Or' is correct because 'or' with an imperative creates a conditional warning: 'leave now, or [else] you will miss the train' (if you don't act, the consequence follows). 'But' would imply a contrast between leaving and missing, which makes no logical sense. 'Yet' implies an unexpected result, which doesn't fit a direct consequence. 'For' would mean leaving is required because you will miss the train, reversing the causation.",k-eng-11-1-1,easy,ai-generated,false,A,but,false,1
q-eng11.1-02,ENG11.1,mc,"Choose the correct conjunction: 'You must leave now, _____ you will miss the train.'","'Or' is correct because 'or' with an imperative creates a conditional warning: 'leave now, or [else] you will miss the train' (if you don't act, the consequence follows). 'But' would imply a contrast between leaving and missing, which makes no logical sense. 'Yet' implies an unexpected result, which doesn't fit a direct consequence. 'For' would mean leaving is required because you will miss the train, reversing the causation.",k-eng-11-1-1,easy,ai-generated,false,B,yet,false,2
q-eng11.1-02,ENG11.1,mc,"Choose the correct conjunction: 'You must leave now, _____ you will miss the train.'","'Or' is correct because 'or' with an imperative creates a conditional warning: 'leave now, or [else] you will miss the train' (if you don't act, the consequence follows). 'But' would imply a contrast between leaving and missing, which makes no logical sense. 'Yet' implies an unexpected result, which doesn't fit a direct consequence. 'For' would mean leaving is required because you will miss the train, reversing the causation.",k-eng-11-1-1,easy,ai-generated,false,C,or,true,3
q-eng11.1-02,ENG11.1,mc,"Choose the correct conjunction: 'You must leave now, _____ you will miss the train.'","'Or' is correct because 'or' with an imperative creates a conditional warning: 'leave now, or [else] you will miss the train' (if you don't act, the consequence follows). 'But' would imply a contrast between leaving and missing, which makes no logical sense. 'Yet' implies an unexpected result, which doesn't fit a direct consequence. 'For' would mean leaving is required because you will miss the train, reversing the causation.",k-eng-11-1-1,easy,ai-generated,false,D,for,false,4
q-eng11.1-03,ENG11.1,mc,"Choose the correct conjunction: 'She had been waiting for hours, _____ the bus finally arrived.'","'And' is correct because it neutrally sequences the two events: waiting for hours, then the bus arrived. 'So' would mean her waiting caused the bus to arrive, which is not a logical cause-effect relationship. 'But' would imply the bus arriving is a surprising contrast to waiting, suggesting it was not expected at all. 'Or' presents an alternative, which is wrong since both events happened consecutively.",k-eng-11-1-1,easy,ai-generated,false,A,so,false,1
q-eng11.1-03,ENG11.1,mc,"Choose the correct conjunction: 'She had been waiting for hours, _____ the bus finally arrived.'","'And' is correct because it neutrally sequences the two events: waiting for hours, then the bus arrived. 'So' would mean her waiting caused the bus to arrive, which is not a logical cause-effect relationship. 'But' would imply the bus arriving is a surprising contrast to waiting, suggesting it was not expected at all. 'Or' presents an alternative, which is wrong since both events happened consecutively.",k-eng-11-1-1,easy,ai-generated,false,B,but,false,2
q-eng11.1-03,ENG11.1,mc,"Choose the correct conjunction: 'She had been waiting for hours, _____ the bus finally arrived.'","'And' is correct because it neutrally sequences the two events: waiting for hours, then the bus arrived. 'So' would mean her waiting caused the bus to arrive, which is not a logical cause-effect relationship. 'But' would imply the bus arriving is a surprising contrast to waiting, suggesting it was not expected at all. 'Or' presents an alternative, which is wrong since both events happened consecutively.",k-eng-11-1-1,easy,ai-generated,false,C,or,false,3
