question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
q-2-3-01,TS2.3,mc,"A company builds a regression model to predict house prices. The model needs to be evaluated on how well it predicts prices and the team wants a metric that is expressed in the same unit as the target variable (dollars) and that penalizes large prediction errors more heavily than small ones. Which metric should the ML engineer use?","RMSE (Root Mean Square Error) is expressed in the same units as the target variable (dollars) and penalizes large errors more heavily because it squares the errors before averaging. This makes it sensitive to outliers which is useful when large price prediction errors are especially costly. MAE (Mean Absolute Error) is also in the same unit but treats all errors equally rather than penalizing large errors more. R-squared is dimensionless (0 to 1) not in dollars. MAPE is a percentage not in dollars.",k-2-3-1,easy,ai-generated,false,A,Mean Absolute Error (MAE),false,1
q-2-3-01,TS2.3,mc,"A company builds a regression model to predict house prices. The model needs to be evaluated on how well it predicts prices and the team wants a metric that is expressed in the same unit as the target variable (dollars) and that penalizes large prediction errors more heavily than small ones. Which metric should the ML engineer use?","RMSE (Root Mean Square Error) is expressed in the same units as the target variable (dollars) and penalizes large errors more heavily because it squares the errors before averaging. This makes it sensitive to outliers which is useful when large price prediction errors are especially costly. MAE (Mean Absolute Error) is also in the same unit but treats all errors equally rather than penalizing large errors more. R-squared is dimensionless (0 to 1) not in dollars. MAPE is a percentage not in dollars.",k-2-3-1,easy,ai-generated,false,B,Root Mean Square Error (RMSE),true,2
q-2-3-01,TS2.3,mc,"A company builds a regression model to predict house prices. The model needs to be evaluated on how well it predicts prices and the team wants a metric that is expressed in the same unit as the target variable (dollars) and that penalizes large prediction errors more heavily than small ones. Which metric should the ML engineer use?","RMSE (Root Mean Square Error) is expressed in the same units as the target variable (dollars) and penalizes large errors more heavily because it squares the errors before averaging. This makes it sensitive to outliers which is useful when large price prediction errors are especially costly. MAE (Mean Absolute Error) is also in the same unit but treats all errors equally rather than penalizing large errors more. R-squared is dimensionless (0 to 1) not in dollars. MAPE is a percentage not in dollars.",k-2-3-1,easy,ai-generated,false,C,R-squared (R²),false,3
q-2-3-01,TS2.3,mc,"A company builds a regression model to predict house prices. The model needs to be evaluated on how well it predicts prices and the team wants a metric that is expressed in the same unit as the target variable (dollars) and that penalizes large prediction errors more heavily than small ones. Which metric should the ML engineer use?","RMSE (Root Mean Square Error) is expressed in the same units as the target variable (dollars) and penalizes large errors more heavily because it squares the errors before averaging. This makes it sensitive to outliers which is useful when large price prediction errors are especially costly. MAE (Mean Absolute Error) is also in the same unit but treats all errors equally rather than penalizing large errors more. R-squared is dimensionless (0 to 1) not in dollars. MAPE is a percentage not in dollars.",k-2-3-1,easy,ai-generated,false,D,Mean Absolute Percentage Error (MAPE),false,4
q-2-3-02,TS2.3,mc,"A medical imaging model classifies X-rays as showing signs of tuberculosis or not. Missing a tuberculosis case (false negative) is far more dangerous than incorrectly flagging a healthy patient (false positive). Which metric should the ML engineer optimize to minimize the number of missed tuberculosis cases?","Recall (also called Sensitivity or True Positive Rate) measures the proportion of actual positive cases (tuberculosis) that the model correctly identifies. Maximizing recall minimizes false negatives — missed tuberculosis cases. Precision measures how many predicted positives are actually positive — it focuses on false positives not false negatives. Accuracy is misleading on imbalanced datasets and does not specifically target false negatives. F1 Score balances precision and recall but does not specifically prioritize minimizing false negatives.",k-2-3-2,easy,ai-generated,false,A,Precision,false,1
q-2-3-02,TS2.3,mc,"A medical imaging model classifies X-rays as showing signs of tuberculosis or not. Missing a tuberculosis case (false negative) is far more dangerous than incorrectly flagging a healthy patient (false positive). Which metric should the ML engineer optimize to minimize the number of missed tuberculosis cases?","Recall (also called Sensitivity or True Positive Rate) measures the proportion of actual positive cases (tuberculosis) that the model correctly identifies. Maximizing recall minimizes false negatives — missed tuberculosis cases. Precision measures how many predicted positives are actually positive — it focuses on false positives not false negatives. Accuracy is misleading on imbalanced datasets and does not specifically target false negatives. F1 Score balances precision and recall but does not specifically prioritize minimizing false negatives.",k-2-3-2,easy,ai-generated,false,B,Recall,true,2
q-2-3-02,TS2.3,mc,"A medical imaging model classifies X-rays as showing signs of tuberculosis or not. Missing a tuberculosis case (false negative) is far more dangerous than incorrectly flagging a healthy patient (false positive). Which metric should the ML engineer optimize to minimize the number of missed tuberculosis cases?","Recall (also called Sensitivity or True Positive Rate) measures the proportion of actual positive cases (tuberculosis) that the model correctly identifies. Maximizing recall minimizes false negatives — missed tuberculosis cases. Precision measures how many predicted positives are actually positive — it focuses on false positives not false negatives. Accuracy is misleading on imbalanced datasets and does not specifically target false negatives. F1 Score balances precision and recall but does not specifically prioritize minimizing false negatives.",k-2-3-2,easy,ai-generated,false,C,Accuracy,false,3
q-2-3-02,TS2.3,mc,"A medical imaging model classifies X-rays as showing signs of tuberculosis or not. Missing a tuberculosis case (false negative) is far more dangerous than incorrectly flagging a healthy patient (false positive). Which metric should the ML engineer optimize to minimize the number of missed tuberculosis cases?","Recall (also called Sensitivity or True Positive Rate) measures the proportion of actual positive cases (tuberculosis) that the model correctly identifies. Maximizing recall minimizes false negatives — missed tuberculosis cases. Precision measures how many predicted positives are actually positive — it focuses on false positives not false negatives. Accuracy is misleading on imbalanced datasets and does not specifically target false negatives. F1 Score balances precision and recall but does not specifically prioritize minimizing false negatives.",k-2-3-2,easy,ai-generated,false,D,F1 Score,false,4
q-2-3-03,TS2.3,mc,"An email spam filter classifies emails as spam or not spam. Incorrectly marking a legitimate important email as spam is very costly — users miss important messages. False negatives (spam that gets through) are acceptable. Which metric should the ML engineer prioritize?","Precision measures the proportion of emails flagged as spam that are actually spam — it directly minimizes false positives (legitimate emails incorrectly marked as spam). High precision means when the model says spam it is almost always right. Recall maximizes detection of actual spam at the cost of more false positives which is the wrong trade-off for this use case. Accuracy is misleading on imbalanced email datasets. RMSE is a regression metric not for classification.",k-2-3-2,easy,ai-generated,false,A,Precision,true,1
q-2-3-03,TS2.3,mc,"An email spam filter classifies emails as spam or not spam. Incorrectly marking a legitimate important email as spam is very costly — users miss important messages. False negatives (spam that gets through) are acceptable. Which metric should the ML engineer prioritize?","Precision measures the proportion of emails flagged as spam that are actually spam — it directly minimizes false positives (legitimate emails incorrectly marked as spam). High precision means when the model says spam it is almost always right. Recall maximizes detection of actual spam at the cost of more false positives which is the wrong trade-off for this use case. Accuracy is misleading on imbalanced email datasets. RMSE is a regression metric not for classification.",k-2-3-2,easy,ai-generated,false,B,Recall,false,2
q-2-3-03,TS2.3,mc,"An email spam filter classifies emails as spam or not spam. Incorrectly marking a legitimate important email as spam is very costly — users miss important messages. False negatives (spam that gets through) are acceptable. Which metric should the ML engineer prioritize?","Precision measures the proportion of emails flagged as spam that are actually spam — it directly minimizes false positives (legitimate emails incorrectly marked as spam). High precision means when the model says spam it is almost always right. Recall maximizes detection of actual spam at the cost of more false positives which is the wrong trade-off for this use case. Accuracy is misleading on imbalanced email datasets. RMSE is a regression metric not for classification.",k-2-3-2,easy,ai-generated,false,C,Accuracy,false,3
