question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
q-eng6.1-01,ENG6.1,mc,"Choose the word that best fills the blank: 'An _____ silence fell over the usually busy marketplace, surprising every shopper.'","'Eerie' is correct — it means strange and unsettling, which fits a surprising, unusual silence in a busy place. 'Customary' means usual/expected, the opposite of what the sentence signals. 'Usual' repeats the same idea as 'usually busy' and makes no contrast. 'Familiar' also implies something expected, not surprising.",k-eng-6-1-1,easy,ai-generated,false,A,customary,false,1
q-eng6.1-01,ENG6.1,mc,"Choose the word that best fills the blank: 'An _____ silence fell over the usually busy marketplace, surprising every shopper.'","'Eerie' is correct — it means strange and unsettling, which fits a surprising, unusual silence in a busy place. 'Customary' means usual/expected, the opposite of what the sentence signals. 'Usual' repeats the same idea as 'usually busy' and makes no contrast. 'Familiar' also implies something expected, not surprising.",k-eng-6-1-1,easy,ai-generated,false,B,eerie,true,2
q-eng6.1-01,ENG6.1,mc,"Choose the word that best fills the blank: 'An _____ silence fell over the usually busy marketplace, surprising every shopper.'","'Eerie' is correct — it means strange and unsettling, which fits a surprising, unusual silence in a busy place. 'Customary' means usual/expected, the opposite of what the sentence signals. 'Usual' repeats the same idea as 'usually busy' and makes no contrast. 'Familiar' also implies something expected, not surprising.",k-eng-6-1-1,easy,ai-generated,false,C,usual,false,3
q-eng6.1-01,ENG6.1,mc,"Choose the word that best fills the blank: 'An _____ silence fell over the usually busy marketplace, surprising every shopper.'","'Eerie' is correct — it means strange and unsettling, which fits a surprising, unusual silence in a busy place. 'Customary' means usual/expected, the opposite of what the sentence signals. 'Usual' repeats the same idea as 'usually busy' and makes no contrast. 'Familiar' also implies something expected, not surprising.",k-eng-6-1-1,easy,ai-generated,false,D,familiar,false,4
q-eng6.1-02,ENG6.1,mc,"Choose the word that best fills the blank: 'The firm _____ heavy losses last quarter owing to a sudden drop in demand.'","'Incurred' is correct — the fixed collocation is 'incur losses/debts/penalties', meaning to suffer or become liable for something negative. 'Earned' and 'gained' both denote receiving something positive, not losses. 'Received' implies passive delivery and does not collocate with losses in standard English.",k-eng-6-1-1,easy,ai-generated,false,A,earned,false,1
q-eng6.1-02,ENG6.1,mc,"Choose the word that best fills the blank: 'The firm _____ heavy losses last quarter owing to a sudden drop in demand.'","'Incurred' is correct — the fixed collocation is 'incur losses/debts/penalties', meaning to suffer or become liable for something negative. 'Earned' and 'gained' both denote receiving something positive, not losses. 'Received' implies passive delivery and does not collocate with losses in standard English.",k-eng-6-1-1,easy,ai-generated,false,B,gained,false,2
q-eng6.1-02,ENG6.1,mc,"Choose the word that best fills the blank: 'The firm _____ heavy losses last quarter owing to a sudden drop in demand.'","'Incurred' is correct — the fixed collocation is 'incur losses/debts/penalties', meaning to suffer or become liable for something negative. 'Earned' and 'gained' both denote receiving something positive, not losses. 'Received' implies passive delivery and does not collocate with losses in standard English.",k-eng-6-1-1,easy,ai-generated,false,C,incurred,true,3
q-eng6.1-02,ENG6.1,mc,"Choose the word that best fills the blank: 'The firm _____ heavy losses last quarter owing to a sudden drop in demand.'","'Incurred' is correct — the fixed collocation is 'incur losses/debts/penalties', meaning to suffer or become liable for something negative. 'Earned' and 'gained' both denote receiving something positive, not losses. 'Received' implies passive delivery and does not collocate with losses in standard English.",k-eng-6-1-1,easy,ai-generated,false,D,received,false,4
q-eng6.1-03,ENG6.1,mc,"Choose the word that best fills the blank: 'The disease spread _____ across the country, affecting millions within weeks.'","'Rapidly' is correct — 'millions within weeks' signals fast, widespread movement, and 'rapidly' collocates naturally with 'spread'. 'Sporadically' means in scattered, irregular patches — inconsistent with 'millions'. 'Selectively' implies deliberate targeting, which contradicts a disease's random spread. 'Gradually' means slowly over time, contradicting the 'within weeks' urgency.",k-eng-6-1-1,easy,ai-generated,false,A,sporadically,false,1
q-eng6.1-03,ENG6.1,mc,"Choose the word that best fills the blank: 'The disease spread _____ across the country, affecting millions within weeks.'","'Rapidly' is correct — 'millions within weeks' signals fast, widespread movement, and 'rapidly' collocates naturally with 'spread'. 'Sporadically' means in scattered, irregular patches — inconsistent with 'millions'. 'Selectively' implies deliberate targeting, which contradicts a disease's random spread. 'Gradually' means slowly over time, contradicting the 'within weeks' urgency.",k-eng-6-1-1,easy,ai-generated,false,B,selectively,false,2
