question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
q-2-2-01,TS2.2,mc,"A company runs nightly SageMaker training jobs on ml.p3.2xlarge instances. Each job takes approximately 3 hours and the team can tolerate occasional interruptions as long as training progress is not lost. The company wants to reduce training costs significantly. Which solution should the ML engineer implement?","Managed Spot Training uses EC2 Spot Instances which provide up to 90% cost savings compared to on-demand. Checkpointing to S3 is mandatory because Spot Instances can be interrupted at any time — without checkpointing an interrupted job loses all progress and must restart from the beginning. With checkpointing the job resumes from the last saved checkpoint. Reserved Instances reduce cost by 30-72% but require a 1 or 3-year commitment with upfront payment. Larger instances increase cost. Reducing batch size affects convergence not cost.",k-2-2-1,easy,ai-generated,false,A,Switch to Reserved Instances with a 1-year commitment,false,1
q-2-2-01,TS2.2,mc,"A company runs nightly SageMaker training jobs on ml.p3.2xlarge instances. Each job takes approximately 3 hours and the team can tolerate occasional interruptions as long as training progress is not lost. The company wants to reduce training costs significantly. Which solution should the ML engineer implement?","Managed Spot Training uses EC2 Spot Instances which provide up to 90% cost savings compared to on-demand. Checkpointing to S3 is mandatory because Spot Instances can be interrupted at any time — without checkpointing an interrupted job loses all progress and must restart from the beginning. With checkpointing the job resumes from the last saved checkpoint. Reserved Instances reduce cost by 30-72% but require a 1 or 3-year commitment with upfront payment. Larger instances increase cost. Reducing batch size affects convergence not cost.",k-2-2-1,easy,ai-generated,false,B,Enable Managed Spot Training with checkpointing to Amazon S3,true,2
q-2-2-01,TS2.2,mc,"A company runs nightly SageMaker training jobs on ml.p3.2xlarge instances. Each job takes approximately 3 hours and the team can tolerate occasional interruptions as long as training progress is not lost. The company wants to reduce training costs significantly. Which solution should the ML engineer implement?","Managed Spot Training uses EC2 Spot Instances which provide up to 90% cost savings compared to on-demand. Checkpointing to S3 is mandatory because Spot Instances can be interrupted at any time — without checkpointing an interrupted job loses all progress and must restart from the beginning. With checkpointing the job resumes from the last saved checkpoint. Reserved Instances reduce cost by 30-72% but require a 1 or 3-year commitment with upfront payment. Larger instances increase cost. Reducing batch size affects convergence not cost.",k-2-2-1,easy,ai-generated,false,C,Upgrade to ml.p3.16xlarge instances to complete training faster,false,3
q-2-2-01,TS2.2,mc,"A company runs nightly SageMaker training jobs on ml.p3.2xlarge instances. Each job takes approximately 3 hours and the team can tolerate occasional interruptions as long as training progress is not lost. The company wants to reduce training costs significantly. Which solution should the ML engineer implement?","Managed Spot Training uses EC2 Spot Instances which provide up to 90% cost savings compared to on-demand. Checkpointing to S3 is mandatory because Spot Instances can be interrupted at any time — without checkpointing an interrupted job loses all progress and must restart from the beginning. With checkpointing the job resumes from the last saved checkpoint. Reserved Instances reduce cost by 30-72% but require a 1 or 3-year commitment with upfront payment. Larger instances increase cost. Reducing batch size affects convergence not cost.",k-2-2-1,easy,ai-generated,false,D,Reduce the training batch size to lower GPU memory usage and cost,false,4
q-2-2-02,TS2.2,mc,"An ML engineer wants to automatically find the best learning rate, regularization strength, and number of layers for a neural network without manually testing combinations. Which SageMaker feature automates this process?","SageMaker Automatic Model Tuning (also called Hyperparameter Tuning) automatically searches the hyperparameter space using strategies like Bayesian optimization or random search to find the configuration that optimizes a specified objective metric. SageMaker Debugger monitors training runs for issues like vanishing gradients but does not tune hyperparameters. SageMaker Experiments tracks and compares runs but you must manually define the hyperparameters to try. SageMaker Autopilot automates the entire ML pipeline for tabular data but is not general-purpose hyperparameter tuning for custom models.",k-2-2-2,easy,ai-generated,false,A,Amazon SageMaker Debugger,false,1
q-2-2-02,TS2.2,mc,"An ML engineer wants to automatically find the best learning rate, regularization strength, and number of layers for a neural network without manually testing combinations. Which SageMaker feature automates this process?","SageMaker Automatic Model Tuning (also called Hyperparameter Tuning) automatically searches the hyperparameter space using strategies like Bayesian optimization or random search to find the configuration that optimizes a specified objective metric. SageMaker Debugger monitors training runs for issues like vanishing gradients but does not tune hyperparameters. SageMaker Experiments tracks and compares runs but you must manually define the hyperparameters to try. SageMaker Autopilot automates the entire ML pipeline for tabular data but is not general-purpose hyperparameter tuning for custom models.",k-2-2-2,easy,ai-generated,false,B,Amazon SageMaker Automatic Model Tuning,true,2
q-2-2-02,TS2.2,mc,"An ML engineer wants to automatically find the best learning rate, regularization strength, and number of layers for a neural network without manually testing combinations. Which SageMaker feature automates this process?","SageMaker Automatic Model Tuning (also called Hyperparameter Tuning) automatically searches the hyperparameter space using strategies like Bayesian optimization or random search to find the configuration that optimizes a specified objective metric. SageMaker Debugger monitors training runs for issues like vanishing gradients but does not tune hyperparameters. SageMaker Experiments tracks and compares runs but you must manually define the hyperparameters to try. SageMaker Autopilot automates the entire ML pipeline for tabular data but is not general-purpose hyperparameter tuning for custom models.",k-2-2-2,easy,ai-generated,false,C,Amazon SageMaker Experiments,false,3
q-2-2-02,TS2.2,mc,"An ML engineer wants to automatically find the best learning rate, regularization strength, and number of layers for a neural network without manually testing combinations. Which SageMaker feature automates this process?","SageMaker Automatic Model Tuning (also called Hyperparameter Tuning) automatically searches the hyperparameter space using strategies like Bayesian optimization or random search to find the configuration that optimizes a specified objective metric. SageMaker Debugger monitors training runs for issues like vanishing gradients but does not tune hyperparameters. SageMaker Experiments tracks and compares runs but you must manually define the hyperparameters to try. SageMaker Autopilot automates the entire ML pipeline for tabular data but is not general-purpose hyperparameter tuning for custom models.",k-2-2-2,easy,ai-generated,false,D,Amazon SageMaker Autopilot,false,4
q-2-2-03,TS2.2,mc,"A deep learning model shows high accuracy on the training set but performs significantly worse on the validation set. The gap between training and validation accuracy increases as training continues. What does this pattern indicate and what is the most effective remedy?","A large and growing gap between training and validation performance is the classic symptom of overfitting — the model has memorized training examples rather than learning generalizable patterns. Adding dropout layers randomly disables neurons during training which prevents co-adaptation and forces the model to learn more robust distributed representations. L1 or L2 regularization penalizes large weights. Underfitting is the opposite pattern where both training and validation performance are poor. Increasing model size makes overfitting worse not better.",k-2-2-4,easy,ai-generated,false,A,The model is underfitting — increase the number of layers and neurons,false,1
q-2-2-03,TS2.2,mc,"A deep learning model shows high accuracy on the training set but performs significantly worse on the validation set. The gap between training and validation accuracy increases as training continues. What does this pattern indicate and what is the most effective remedy?","A large and growing gap between training and validation performance is the classic symptom of overfitting — the model has memorized training examples rather than learning generalizable patterns. Adding dropout layers randomly disables neurons during training which prevents co-adaptation and forces the model to learn more robust distributed representations. L1 or L2 regularization penalizes large weights. Underfitting is the opposite pattern where both training and validation performance are poor. Increasing model size makes overfitting worse not better.",k-2-2-4,easy,ai-generated,false,B,The model is overfitting — add dropout regularization and reduce model complexity,true,2
