question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
q-eng10.1-01,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'The news is disturbing' is correct because 'news' is an uncountable noun treated as singular — it always takes a singular verb. 'The news are disturbing' incorrectly uses a plural verb with a singular noun. 'The news have been disturbing' uses 'have', a plural auxiliary, which is wrong for the singular noun 'news'. 'The news were disturbing' again uses a plural verb 'were' where 'was' would be required.",k-eng-10-1-1,easy,ai-generated,false,A,The news is disturbing.,true,1
q-eng10.1-01,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'The news is disturbing' is correct because 'news' is an uncountable noun treated as singular — it always takes a singular verb. 'The news are disturbing' incorrectly uses a plural verb with a singular noun. 'The news have been disturbing' uses 'have', a plural auxiliary, which is wrong for the singular noun 'news'. 'The news were disturbing' again uses a plural verb 'were' where 'was' would be required.",k-eng-10-1-1,easy,ai-generated,false,B,The news are disturbing.,false,2
q-eng10.1-01,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'The news is disturbing' is correct because 'news' is an uncountable noun treated as singular — it always takes a singular verb. 'The news are disturbing' incorrectly uses a plural verb with a singular noun. 'The news have been disturbing' uses 'have', a plural auxiliary, which is wrong for the singular noun 'news'. 'The news were disturbing' again uses a plural verb 'were' where 'was' would be required.",k-eng-10-1-1,easy,ai-generated,false,C,The news have been disturbing.,false,3
q-eng10.1-01,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'The news is disturbing' is correct because 'news' is an uncountable noun treated as singular — it always takes a singular verb. 'The news are disturbing' incorrectly uses a plural verb with a singular noun. 'The news have been disturbing' uses 'have', a plural auxiliary, which is wrong for the singular noun 'news'. 'The news were disturbing' again uses a plural verb 'were' where 'was' would be required.",k-eng-10-1-1,easy,ai-generated,false,D,The news were disturbing.,false,4
q-eng10.1-02,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'Mathematics is a difficult subject' is correct because academic disciplines ending in -ics (mathematics, physics, economics) are treated as singular nouns and take singular verbs. 'Mathematics are a difficult subject' wrongly treats the word as plural. 'Mathematics were a difficult subject' shifts to past tense with a plural verb, both errors together. 'Mathematics have always been a difficult subject' uses a plural auxiliary 'have', which is wrong for a singular noun.",k-eng-10-1-1,easy,ai-generated,false,A,Mathematics are a difficult subject.,false,1
q-eng10.1-02,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'Mathematics is a difficult subject' is correct because academic disciplines ending in -ics (mathematics, physics, economics) are treated as singular nouns and take singular verbs. 'Mathematics are a difficult subject' wrongly treats the word as plural. 'Mathematics were a difficult subject' shifts to past tense with a plural verb, both errors together. 'Mathematics have always been a difficult subject' uses a plural auxiliary 'have', which is wrong for a singular noun.",k-eng-10-1-1,easy,ai-generated,false,B,Mathematics is a difficult subject.,true,2
q-eng10.1-02,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'Mathematics is a difficult subject' is correct because academic disciplines ending in -ics (mathematics, physics, economics) are treated as singular nouns and take singular verbs. 'Mathematics are a difficult subject' wrongly treats the word as plural. 'Mathematics were a difficult subject' shifts to past tense with a plural verb, both errors together. 'Mathematics have always been a difficult subject' uses a plural auxiliary 'have', which is wrong for a singular noun.",k-eng-10-1-1,easy,ai-generated,false,C,Mathematics were a difficult subject.,false,3
q-eng10.1-02,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'Mathematics is a difficult subject' is correct because academic disciplines ending in -ics (mathematics, physics, economics) are treated as singular nouns and take singular verbs. 'Mathematics are a difficult subject' wrongly treats the word as plural. 'Mathematics were a difficult subject' shifts to past tense with a plural verb, both errors together. 'Mathematics have always been a difficult subject' uses a plural auxiliary 'have', which is wrong for a singular noun.",k-eng-10-1-1,easy,ai-generated,false,D,Mathematics have always been a difficult subject.,false,4
q-eng10.1-03,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'Neither of the boys was present' is correct because 'neither of + plural noun' takes a singular verb — 'neither' is treated as singular. 'Neither of the boys have submitted their work' uses the plural 'have', which is wrong when 'neither' is the subject. 'Neither of the boys were present' uses the plural 'were' where the singular 'was' is required. 'Neither of the boys are at fault' uses the plural 'are' where the singular 'is' is needed.",k-eng-10-1-1,medium,ai-generated,false,A,Neither of the boys have submitted their work.,false,1
q-eng10.1-03,ENG10.1,mc,"Which subject-predicate pair is grammatically correct?","'Neither of the boys was present' is correct because 'neither of + plural noun' takes a singular verb — 'neither' is treated as singular. 'Neither of the boys have submitted their work' uses the plural 'have', which is wrong when 'neither' is the subject. 'Neither of the boys were present' uses the plural 'were' where the singular 'was' is required. 'Neither of the boys are at fault' uses the plural 'are' where the singular 'is' is needed.",k-eng-10-1-1,medium,ai-generated,false,B,Neither of the boys were present.,false,2
